Year,January,February,March,April,May,June,July,August,September,October,November,December
2004,20.8,0,0,17.4,218.9,43.8,51.4,24.7,233.1,226.2,222.3,2
2005,0.2,0,17.5,87.7,18.2,35.5,108.1,113.3,207,582.7,415.3,419.9
2006,0.2,0,27.2,10.2,27.5,81.3,55.1,107.3,185.5,430.5,173.3,64.1
2007,0,2.5,0,13.2,31.3,84.1,208.9,249.6,134.7,251.7,97.7,258
2008,57.2,11.4,137.6,0.8,30.4,105.6,89.4,90.2,135,260,482.3,18.8
2009,11.4,0,0,0,15,39,61.4,125.4,105.9,54.3,372.5,163.1
2010,2.3,0,0,0.6,137.5,101.5,280.3,279.6,155.8,133.1,207.2,177.9
,,,,,,,,,,,,
2012,8.3,0,0.2,8.7,15.5,37.4,127.1,127.4,155,272.5,129.6,151
2013,0.1,55.1,21.1,22.5,15.8,92.2,128.8,151.7,240,189.1,121.1,29.7
2014,0.7,0.8,0,0,24.6,81.3,77.3,135.6,130.6,220,157.4,109.7
2016,1.2,0,0,0,158.6,149.2,54,18.1,185.4,5.3,28,214.4
