Year,January,February,March,April,May,June,July,August,September,October,November,December
2004,0,0,7.7,0,283.2,55.9,75.9,23,256.2,235,189.4,18.2
2005,0.4,39.7,5.4,60.6,46.6,19.9,70,64.2,193.3,177.9,474.7,156.7
2006,4.2,0,45.3,42.5,37.4,63.8,10,94.1,57.4,203.9,211.1,26.1
2007,0.2,1.9,0,15.2,28.5,31.9,45,199.1,32.8,174.9,40.4,240.6
2008,7.7,55.2,161.6,12.2,6.1,44.5,64.4,146,37.3,165.9,329.8,59.9
2009,3.7,0,3.5,38.9,38.5,30.6,22,33.2,119.7,33,295.6,150.1
2010,1.5,0,0,11.1,117.8,49.7,50.6,105.4,161.6,107.6,246,140.9
,,,,,,,,,,,,
2012,2.9,0,0,27.6,33.1,14.4,36.1,107.6,139.5,221.8,55.2,9.4
2013,15.4,19.2,71.3,3.1,15.5,33.8,21.8,133.3,97.6,102.9,51.6,48.3
2014,3.5,4.6,0,0.3,135.4,18.3,18.5,140.4,74.3,176.3,119.6,103.6
2016,0,0,0,0,77.7,32.1,50.1,80.7,70.9,80.1,22.1,57.3
