Year,January,February,March,April,May,June,July,August,September,October,November,December
2004,3.9,0.1,2.1,8.7,301.1,16.1,46.4,57.2,234.7,394.7,223.7,20.9
2005,0.6,2,9.7,93.4,102.2,7.5,52.6,92.1,150.9,242.3,508.5,202.4
2006,11,0,39,28.8,65,30.2,1.8,70.5,150.3,222.1,185.2,37.8
2007,0.5,9,0,57.7,46,29.1,41.4,152.6,68.7,278.6,62.5,326.3
2008,6.1,17.3,140,3.6,11.1,23.4,58,129.8,39.1,191.9,723.8,107.4
2009,19.4,0,18.6,55.4,23.2,20.1,9.3,125.9,114.4,40.1,449.8,320.6
2010,29.8,0,0,10.4,96.6,44.6,39.9,144.2,162.3,209.3,398.7,229.1
,,,,,,,,,,,,
2012,2.1,0.8,7.3,9.6,13,12.6,31.6,80.5,88.6,334,86.4,19
2013,14.5,14.8,53.5,0.8,20.7,24.6,11.5,146.5,117,94.2,131.4,86.2
2014,4.2,10.5,0,0.1,131,7.5,51.7,115.9,40.6,233,175.6,140.5
2016,0,0,0.2,0.9,130.6,56.1,68.1,99.7,64.7,86.3,50.9,73.1
