Year,January,February,March,April,May,June,July,August,September,October,November,December
2004,0,0,6.3,30.6,156.8,22.1,50.4,51.8,292.9,281.6,182.5,29
2005,0,24.1,28.5,144.7,89.6,30.3,78.3,79.3,75.8,310.7,258.8,169.1
2006,20.5,0,70.2,61.2,52.7,57.7,19.2,68.2,95,257.3,239.6,24.3
2007,1.4,4.1,1.3,83.2,90,93.3,19.7,115.2,45.3,117.7,101,214.4
2008,0.9,51,255.9,43.8,21.1,65.4,66.3,147.8,52.3,246.5,166.8,59
2009,1.4,0,0.6,74.4,48.1,19.1,13.5,149.5,151.4,34.3,315.4,90.4
2010,4.1,0,0,21.3,93.5,76.8,91.9,82,245.3,203.8,236.3,98.5
,,,,,,,,,,,,
2012,5.7,0.3,2.4,30.4,68.5,6,51.8,83.4,87.3,258.4,35.3,9.5
2013,13.2,46,52.7,0.6,78.3,34.2,21,177.9,36.3,146.5,57.3,60.8
2014,12.4,2.5,1.6,0.1,178.9,6.4,31.1,134,128.5,267.9,119.2,81.7
2016,0,0,1.3,12.5,157.9,39.4,94.9,134.4,111.4,65.3,21.5,72.3
