Year,January,February,March,April,May,June,July,August,September,October,November,December
2004,9.5,4.7,10.3,0,337.4,1.7,38.1,71.2,236.3,639.5,378.5,67.3
2005,2.8,0,8,190,28.3,6.1,34.7,88.4,161.9,216.1,821,128.8
2006,36.7,0,35.7,52.9,40,17.3,4.8,67.7,90.3,456.3,361.7,80.7
2007,0,36.9,0,14.7,5.9,35.9,53.9,199.4,72.3,483,159.1,423.4
2008,64.1,12.4,328.6,8.2,33.7,33.7,19.3,66,56.8,259.3,786.5,188.4
2009,58.3,0,176.5,81.8,29.8,7.3,2.6,106.4,42.8,133,671.1,536
2010,57,0,0.1,10.6,100,70.8,31,171.2,113.2,151.7,499.8,390.1
,,,,,,,,,,,,
2012,12,0.1,6.8,3.9,12,8,39.7,46.6,140.3,599.6,104.7,45.1
2013,30.3,23.5,31.2,0.2,8.3,39.6,28.4,144,104.1,107.7,311.3,201.3
2014,13.7,8,0,0,156.7,35,51.6,98.3,35.5,459.8,351.6,204.8
2016,0.6,0.2,0,0,166.4,53.8,24.2,125.6,41.9,69.2,122,57.4
